system:index,CLASS_2000,CLASS_2010,CLASS_2012,CLASS_2014,CLASS_2016,CLASS_2018,CLASS_2020,LAT,LON,PESO_AMOS,bacia,classification_2000,classification_2010,classification_2012,classification_2014,classification_2016,classification_2018,classification_2020,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000452a_0,15,15,15,15,15,15,15,-40.97444405,-12.59419847,599589.944358633,7741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.97436098113747,-12.594155704534662]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000453a_0,15,15,15,15,15,15,15,-40.24087979,-12.49879739,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.24079672012547,-12.498754621361169]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000047df_0,15,15,15,15,15,15,15,-40.6982121,-11.87249197,336218.045360986,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.69812903127072,-11.872449205273039]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004915_0,4,15,15,15,15,15,15,-40.1010121,-12.57452537,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.10092903038806,-12.574482599812445]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002887_0,3,3,3,3,3,3,3,-41.21564171,-13.19544089,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.21555863492356,-13.195398124195858]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000025de_0,10,10,10,10,10,10,10,-41.4401307,-12.78823457,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.440047624425034,-12.788191805904479]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002890_0,10,10,10,10,10,10,10,-41.42423052,-12.73541363,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.42414744389612,-12.73537086719825]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000264f_0,3,3,3,3,3,3,3,-41.1364103,-13.40483818,599589.944358633,7741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.136327226864225,-13.404795416924118]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000026d1_0,3,3,3,3,3,3,3,-41.51397221,-12.37671634,599589.944358633,7741,4,4,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.51388914077965,-12.376673574249326]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002723_0,3,3,3,3,3,3,3,-41.20162799,-12.1848362,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.2015449164913,-12.184793429561397]}"
