system:index,CLASS_2000,CLASS_2010,CLASS_2012,CLASS_2014,CLASS_2016,CLASS_2018,CLASS_2020,LAT,LON,PESO_AMOS,bacia,classification_2000,classification_2010,classification_2012,classification_2014,classification_2016,classification_2018,classification_2020,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049d6_0,4,4,4,4,4,4,4,-41.10353196,-2.943866868,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.10344888746545,-2.943824101823878]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049d7_0,4,4,4,4,4,4,4,-40.65132005,-3.185064522,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.65123697343968,-3.1850217556099696]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049df_0,4,4,4,4,4,4,4,-40.52870001,-3.416829865,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.528616937157366,-3.416787098912806]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049e5_0,4,4,4,4,4,4,4,-40.852902,-3.357271562,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.852818923196104,-3.357228795575682]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049f3_0,4,4,4,4,4,4,4,-40.63083846,-3.282621562,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.63075538496175,-3.2825787954653496]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004a03_0,4,4,4,4,4,4,4,-40.80574044,-3.645900263,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.80565737077983,-3.645857496363284]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004a0d_0,4,4,4,4,4,4,4,-40.92889947,-3.680126075,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.92881639623261,-3.680083308688238]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004a12_0,4,4,4,4,4,4,4,-40.54433069,-3.259445028,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.54424762310104,-3.259402261135066]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004a1b_0,4,4,4,4,4,4,4,-40.9324029,-3.595235281,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.93231982584068,-3.5951925143389434]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004a23_0,4,4,4,4,4,4,4,-41.18464983,-3.430304595,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.18456675762144,-3.430261828174599]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004a28_0,4,4,4,4,4,4,4,-41.01998864,-3.61868131,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.01990556604233,-3.618638543254463]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004a38_0,4,4,4,4,4,4,4,-41.02052763,-3.430843584,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.020444555212805,-3.430800817345071]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004a4b_0,4,4,4,4,4,4,4,-40.55322402,-3.670693765,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.553140944413826,-3.670650998204983]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004a50_0,4,4,4,4,4,4,4,-41.15770037,-3.335711995,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.15761729909786,-3.3356692287568133]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000048dc_0,18,18,18,18,18,18,18,-40.54729514,-2.964887446,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.54721206353864,-2.964844679472275]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049b0_0,18,18,18,18,18,18,18,-40.32226716,-2.975667229,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.3221840848667,-2.9756244628817092]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004767_0,22,22,22,22,22,22,22,-41.71232023,-3.168355858,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.71223715551325,-3.1683130913253468]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002173_0,15,15,15,15,15,15,15,-40.90680091,-3.884672465,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.906717840243275,-3.8846296988822533]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000456e_0,15,15,15,15,15,15,15,-41.1016455,-3.683898999,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.1015624253688,-3.68385623288154]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000047c8_0,15,15,15,15,15,15,15,-40.62679604,-2.95572463,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.62671296618322,-2.955681863574256]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000489f_0,15,15,15,15,15,15,15,-41.68698774,-3.127123186,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.68690466450108,-3.1270804197842605]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004935_0,15,15,15,15,15,15,15,-41.325326,-3.47881362,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.32524293111456,-3.4787708535170534]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049af_0,15,15,15,15,15,15,15,-40.77582654,-3.210666508,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.77574347181864,-3.210623741207376]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049be_0,15,15,15,15,15,15,15,-40.82568304,-3.513308927,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.82559997008728,-3.513266160427243]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000047bf_0,22,22,22,22,22,22,22,-40.68419838,-2.87164232,642926.727352927,751,22,22,22,22,22,22,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.68411531283846,-2.8715995529806686]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002a3d_0,10,10,10,10,10,10,10,-41.21483322,-2.95572463,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.214750151167856,-2.955681863574256]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002b5e_0,10,10,10,10,10,10,10,-40.58718033,-3.461026977,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.58709726215355,-3.460984210891487]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000021cb_0,22,22,22,22,22,22,22,-40.86125633,-2.905059648,642926.727352927,751,33,33,33,33,33,33,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.861173255338414,-2.9050168815499147]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000003a63_0,15,15,15,15,15,15,15,-40.24087979,-3.117151887,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.24079672012547,-3.117109120130534]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004854_0,15,15,15,15,15,15,15,-41.00031553,-3.345144306,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.00023246132012,-3.3451015392400683]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000048f6_0,33,33,33,33,33,33,33,-40.81840669,-2.891315424,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.81832361628591,-2.891272657702886]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000048a4_0,3,3,3,3,3,3,3,-40.71168683,-3.40766705,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.71160376053251,-3.4076242830147874]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000048e7_0,3,3,3,3,3,3,3,-40.55645795,-3.178057663,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.55637487943666,-3.1780148963938375]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000022dc_0,4,4,4,4,4,4,4,-41.07496553,-3.269955317,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.07488246143045,-3.2699125499592645]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004820_0,4,15,15,15,15,15,15,-40.93455885,-3.283430046,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.93447578252257,-3.283387279221057]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004894_0,4,4,4,4,4,4,4,-41.23504532,-3.204468132,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.234962245060544,-3.2044253657469515]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004896_0,4,4,4,4,15,15,15,-40.97040163,-3.211744486,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.97031856235893,-3.2117017195483193]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049e7_0,4,4,4,4,4,4,4,-40.53031698,-3.554272104,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.53023390466878,-3.554229337383093]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000483b_0,18,18,18,18,18,18,18,-40.37886102,-3.037650984,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.37877794776623,-3.0376082174859564]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002125_0,15,15,15,15,15,15,15,-40.91084333,-3.015552428,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.91076025902181,-3.015509661496616]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000227f_0,4,15,15,15,15,15,4,-41.07011463,-3.326279685,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.070031558896204,-3.3262369182735587]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000254b_0,15,15,15,15,15,15,15,-40.44785163,-2.879727157,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.44776856158661,-2.8796843905377445]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002565_0,4,15,15,15,15,4,4,-40.56615976,-3.398773728,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.56607668450515,-3.398730961702004]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002221_0,4,4,4,4,4,4,4,-40.3850594,-3.133591056,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.38497632322665,-3.133548289829921]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004883_0,4,4,4,4,4,4,4,-40.78445037,-3.772832213,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.784367298546194,-3.7727894460093725]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000496f_0,4,4,4,4,4,4,4,-40.59526517,-3.252707663,642926.727352927,751,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.59518209971062,-3.25266489650417]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049e2_0,4,4,4,4,4,4,4,-40.32307564,-3.194766327,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.322992568622404,-3.1947235606784607]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000048af_0,15,15,15,15,15,15,15,-40.36754225,-3.080770118,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.367459175186326,-3.0807273511236932]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000048f7_0,15,15,15,15,15,15,15,-40.37104568,-2.956263619,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.370962604794386,-2.956220852744728]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000491d_0,15,15,15,15,15,15,15,-40.27160217,-2.824211273,642926.727352927,751,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.271519102842355,-2.824168505979158]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000048f8_0,33,33,33,33,33,33,33,-41.78939568,-2.862479504,642926.727352927,751,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.789312606890704,-2.8624367370826493]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004876_0,10,15,15,15,15,15,15,-40.38020849,-3.928330588,642926.727352927,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.38012542069241,-3.928287821690462]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004937_0,10,10,10,10,10,10,10,-40.32900452,-3.841553332,642926.727352927,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.32892144949759,-3.841510565244516]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000046b4_0,3,3,3,3,3,3,3,-40.82649153,-4.069006762,376488.441665494,752,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.82640845384299,-4.068963995183579]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000285f_0,4,4,4,4,4,4,4,-40.26836824,-4.449533116,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.26828516781953,-4.4494903495366085]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000046b1_0,4,4,4,4,4,4,4,-40.05438954,-4.563529326,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.05430646714226,-4.563486559091375]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004a1c_0,4,4,4,4,4,4,4,-40.22524911,-3.317925353,642926.727352927,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.22516603418179,-3.317882586131247]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004721_0,18,18,18,18,18,18,18,-40.43545488,-3.97899557,642926.727352927,752,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.43537181066576,-3.9789528037148028]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000044ae_0,15,15,15,15,15,15,15,-40.305289,-4.280560011,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.30520592599684,-4.280517244593726]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004636_0,15,15,15,15,15,15,15,-40.19910813,-4.693425716,376488.441665494,752,4,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.19902505941391,-4.693382949175058]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004727_0,15,15,15,15,15,15,15,-40.7081834,-3.972797195,642926.727352927,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.708100330924445,-3.9727544282543783]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000047cf_0,15,15,15,15,15,15,15,-40.20422853,-3.191532392,642926.727352927,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.204145456533396,-3.19148962565563]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000044a7_0,10,10,10,10,10,10,10,-40.15922293,-4.042057303,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.15913986079901,-4.042014536659993]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000020ec_0,3,3,3,3,3,3,3,-39.79459676,-4.280290517,376488.441665494,752,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.794513686974895,-4.28024775000849]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002297_0,3,3,3,3,3,3,3,-40.70279351,-4.246334199,376488.441665494,752,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.70271043921973,-4.246291432268772]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004552_0,3,15,15,15,15,3,3,-40.13011752,-4.682376438,376488.441665494,752,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.13003444559353,-4.6823336711803885]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002884_0,4,4,4,4,4,4,4,-40.36619477,-4.370032213,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.36611170226014,-4.36998944689203]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002a50_0,4,4,4,4,4,4,4,-40.18159098,-4.828981492,376488.441665494,752,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.18150791137358,-4.828938725548694]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004488_0,4,4,4,4,4,4,4,-40.32415362,-4.061191419,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.32407054696335,-4.061148652211739]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004494_0,4,4,4,4,4,4,4,-40.30448051,-4.090566329,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.30439744224113,-4.090523562002447]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000044be_0,4,4,4,4,4,4,4,-40.6885103,-4.471901167,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.68842722620223,-4.471858400111184]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000045b0_0,4,4,4,4,4,4,4,-40.2203982,-4.152550083,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.220315131647546,-4.152507316606695]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000045d1_0,4,4,4,4,4,4,4,-40.17835705,-4.106736004,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.17827397635075,-4.106693237116599]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000045f4_0,4,4,4,4,4,4,4,-40.47668755,-4.152011094,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.476604482206845,-4.151968327436223]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000045f5_0,4,4,4,4,4,4,4,-40.64970308,-4.076822105,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.64962000592826,-4.0767793381554185]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004639_0,4,4,4,4,4,4,4,-40.58691084,-4.007561996,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.58682776756831,-4.0075192297498035]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004665_0,4,4,4,4,4,4,4,-40.73162943,-4.445760192,376488.441665494,752,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.73154635983997,-4.4457174253433065]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004671_0,4,4,4,4,4,4,4,-40.64054026,-4.202406581,376488.441665494,752,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.64045719003025,-4.202363814875328]}"
