system:index,area,class,territory,year,.geo
6_9_1,139782.31404106872,2,17,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_10_0,3840.2193414832836,1,18,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_10_1,46913.547993376305,2,18,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_11_0,3736.476488026281,1,19,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_11_1,48628.50692350711,2,19,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_12_0,5158.470184383058,1,20,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_12_1,77442.08259962474,2,20,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_13_0,786.9910960424162,1,21,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_13_1,12429.122518005592,2,21,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_14_0,664.4375261694893,1,22,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_14_1,11481.040777849628,2,22,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_15_0,17503.145817816418,1,23,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_15_1,333944.04805214226,2,23,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_16_0,1150.1563337989494,1,24,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_16_1,31493.052841245993,2,24,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_7_0,0.0017857496337890626,2,15,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8_0,4407.125438787744,1,16,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8_1,114398.04029275068,2,16,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9_0,9411.862712992941,1,17,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9_1,139462.17921941675,2,17,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_10_0,3519.3851872826303,1,18,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_10_1,47234.38214757682,2,18,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_11_0,3310.458463327647,1,19,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_11_1,49054.524948205966,2,19,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_12_0,4940.659947126988,1,20,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_12_1,77659.89283688097,2,20,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_13_0,756.7772701469707,1,21,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_13_1,12459.336343900968,2,21,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_14_0,662.9759679713108,1,22,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_14_1,11482.502336047684,2,22,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_15_0,17819.375215987613,1,23,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_15_1,333627.8186539709,2,23,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_16_0,1173.147764312563,1,24,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_16_1,31470.06141073266,2,24,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_7_0,0.0017857496337890626,1,15,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_8_0,4496.486525113362,1,16,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_8_1,114308.67920642576,2,16,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_9_0,9862.634226420572,1,17,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_9_1,139011.4077059914,2,17,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_10_0,3520.8790631780266,1,18,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_10_1,47232.88827168215,2,18,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_11_0,3255.5854966085744,1,19,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_11_1,49109.39791492536,2,19,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_12_0,5478.939582214324,1,20,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_12_1,77121.61320179478,2,20,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_13_0,898.4374763410018,1,21,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_13_1,12317.676137707624,2,21,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_14_0,735.176872573482,1,22,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_14_1,11410.301431445987,2,22,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_15_0,17099.63174838365,1,23,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_15_1,334347.56212157715,2,23,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_16_0,1182.6521112351697,1,24,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_16_1,31460.55706380975,2,24,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_7_0,8.928749389648438E-4,1,15,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_7_1,8.928746948242188E-4,2,15,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_8_0,4515.880157686056,1,16,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_8_1,114289.28557385354,2,16,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_9_0,9598.244960777742,1,17,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_9_1,139275.79697163292,2,17,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_10_0,3190.8207032400105,1,18,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_10_1,47562.946631619525,2,18,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_11_0,3441.695337243201,1,19,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_11_1,48923.28807429082,2,19,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_12_0,5473.214123497754,1,20,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_12_1,77127.33866051075,2,20,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_13_0,799.8509470368657,1,21,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_13_1,12416.262667011404,2,21,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_14_0,694.7247242175247,1,22,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_14_1,11450.753579801487,2,22,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_15_0,17541.990709439277,1,23,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_15_1,333905.2031605191,2,23,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
