,CLASS_2000,CLASS_2010,CLASS_2012,CLASS_2014,CLASS_2016,CLASS_2018,CLASS_2020,LAT,LON,PESO_AMOS,bacia,classification_2000,classification_2010,classification_2012,classification_2014,classification_2016,classification_2018,classification_2020,latitude,longitude,coord_lat,refIBGE_2000,refIBGE_2010,refIBGE_2012,refIBGE_2014,refIBGE_2016,refIBGE_2018,refIBGE_2020
44,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.6290464,-4.292956762,376488.441665494,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.292913995514576,-41.62896332867537,-41.62896332867537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.51855362,-4.000285643,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-4.000242875948436,-41.518470548728665,-41.51847054872866,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.19219568,-3.594157303,642926.727352927,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.594114535998,-41.192112606008045,-41.19211260600805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.34742456,-3.810561455,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.8105186879423925,-41.3473414871039,-41.3473414871039,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.38057239,-3.866885823,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.8668430562566867,-41.38048932108791,-41.38048932108791,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.1412612,-3.967946292,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.967903525720133,-41.14117812939847,-41.14117812939847,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.21537221,-3.556428061,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.55638529406498,-41.21528914033833,-41.21528914033833,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.28948322,-3.671771743,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.6717289765459267,-41.28940015127819,-41.28940015127819,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.15877835,-3.631886545,642926.727352927,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.6318437779310195,-41.158695277438795,-41.1586952774388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.29190867,-3.523010732,642926.727352927,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.5229679654957335,-41.29182560254531,-41.29182560254531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.52017059,-3.998129686,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.998086919266549,-41.52008751624008,-41.52008751624008,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.25390994,-3.861495931,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.8614531645519694,-41.253826866027055,-41.25382686602705,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,4.0,15.0,15.0,4.0,4.0,4.0,4.0,-41.50400091,-3.557506039,642926.727352927,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.5574632724059234,-41.50391784112593,-41.50391784112593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.19812456,-3.612482934,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.612440167794038,-41.198041486883234,-41.19804148688323,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.18060741,-3.977378603,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.977335836203388,-41.1805243388429,-41.1805243388429,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.33933972,-3.708961996,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.7089192293084747,-41.33925664954682,-41.33925664954682,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.04505163,-3.827809108,642926.727352927,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.8277663413974876,-41.044968562469265,-41.04496856246926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.17656499,-3.62164575,642926.727352927,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.6216029836920574,-41.17648192006436,-41.17648192006436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.25983882,-3.690636364,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.6905935975124367,-41.25975574690224,-41.25975574690224,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.450102,-3.51115297,642926.727352927,741.0,4.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.511110203745356,-41.45001892407876,-41.45001892407876,1.0,0.0,0.0,0.0,0.0,0.0,0.0
