system:index,area,class,territory,year,.geo
5_10_0,20339.63194310738,1,18,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_10_1,30414.135391759002,2,18,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_11_0,22947.912271303478,1,19,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_11_1,29417.07114022716,2,19,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_12_0,31837.34340748706,1,20,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_12_1,50763.20937651995,2,20,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_13_0,5215.082163657552,1,21,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_13_1,8001.031450390815,2,21,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_14_0,2692.599990479528,1,22,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_14_1,9452.878313539097,2,22,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_15_0,169341.1048526516,1,23,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_15_1,182106.089017317,2,23,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_16_0,15871.688977742246,1,24,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_16_1,16771.52019729459,2,24,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_7_0,0.0017857496337890626,2,15,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_8_0,51744.47423332314,1,16,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_8_1,67060.69149821662,2,16,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_9_0,68139.76884415031,1,17,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_9_1,80734.27308825494,2,17,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_10_0,20405.323645150555,1,18,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_10_1,30348.443689715965,2,18,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_11_0,23083.671764930077,1,19,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_11_1,29281.31164660079,2,19,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_12_0,31958.481015970665,1,20,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_12_1,50642.07176803619,2,20,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_13_0,5163.388021465923,1,21,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_13_1,8052.725592582778,2,21,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_14_0,2689.7319143870113,1,22,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_14_1,9455.746389631593,2,22,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_15_0,169222.11697538622,1,23,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_15_1,182225.07689458175,2,23,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_16_0,15869.055887826782,1,24,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_16_1,16774.153287210207,2,24,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
